facility_name,facility_code,facility_type,facility_ownership,latitude,longitude,admin1,status
Oresi Health Centre,13991,Basic primary health care facility,Public,,,KISII,Operating
Nambale Hospital,16066,Basic primary health care facility,Public,,,BUSIA,Operating
Gatimbi Health Centre,12031,Basic primary health care facility,Public,,,MERU,Operating
Kavindu Health Centre,12258,Basic primary health care facility,Public,,,KITUI,Operating
Danaba Health Centre,13322,Basic primary health care facility,Public,3.337298,39.780542,WAJIR,Operating
Kivaani Health Centre,12376,Basic primary health care facility,Public,,,MACHAKOS,Operating
Baricho Health Centre,10049,Basic primary health care facility,Public,,,KIRINYAGA,Operating
Nembure Health Centre,12642,Basic primary health care facility,Public,,,EMBU,Operating
Ndalu Health Centre,16079,Basic primary health care facility,Public,,,BUNGOMA,Operating
Winzyeei Health Centre,12849,Basic primary health care facility,Public,,,KITUI,Operating
Nsis Health Centre (Ruaraka),13127,Basic primary health care facility,Public,,,NAIROBI,Operating
Kahawa Garrison Health Centre,12996,Basic primary health care facility,Public,,,NAIROBI,Operating
Nyamagwa Health Centre,13893,Basic primary health care facility,Public,,,KISII,Operating
Mavindini Health Centre,12493,Basic primary health care facility,Public,,,MAKUENI,Operating
Othoro Sub District Hospital,14003,Primary care hospitals,Public,,,MIGORI,Operating
Nyametaburo Health Centre,13909,Basic primary health care facility,Public,,,MIGORI,Operating
Kangeta Health Centre,12174,Basic primary health care facility,Public,,,MERU,Operating
Eldas Health Centre,13333,Basic primary health care facility,Public,,,WAJIR,Operating
Ngano Health Centre,10856,Basic primary health care facility,Public,,,NYANDARUA,Operating
Kaviani Health Centre,12257,Basic primary health care facility,Public,,,MACHAKOS,Operating
Iuani Health Centre,12102,Basic primary health care facility,Public,,,MAKUENI,Operating
Mitaboni Health Centre,12530,Basic primary health care facility,Public,,,MACHAKOS,Operating
Kuresoi Health Centre,16683,Basic primary health care facility,Public,,,NAKURU,Operating
Kathonzweni Health Centre,12236,Basic primary health care facility,Public,,,MAKUENI,Operating
Theere Health Centre,16555,Basic primary health care facility,Public,,,MERU,Operating
Waita Health Centre,12839,Basic primary health care facility,Public,,,KITUI,Operating
Suguta Marmar Health Centre,15682,Basic primary health care facility,Public,,,SAMBURU,Operating
Dukana Health Centre (North Horr),11990,Basic primary health care facility,Public,,,MARSABIT,Operating
Shitsitswi Health Centre,16121,Basic primary health care facility,Public,,,KAKAMEGA,Operating
Esani Sub-District Hospital,13548,Primary care hospitals,Public,,,NYAMIRA,Operating
Mashuru Health Centre,15150,Basic primary health care facility,Public,,,KAJIADO,Operating
Got Kojowi Health Centre,13589,Basic primary health care facility,Public,,,HOMA BAY,Operating
Gede Health Centre,11387,Basic primary health care facility,Public,,,KILIFI,Operating
Ebusiratsi Health Centre,15866,Basic primary health care facility,Public,,,VIHIGA,Operating
Mbiuni Health Centre,12503,Basic primary health care facility,Public,,,MACHAKOS,Operating
Redemeed Health Centre,13160,Basic primary health care facility,Public,,,NAIROBI,Operating
Kyethani Health Centre,12414,Basic primary health care facility,Public,-0.843483,37.996077,KITUI,Operating
Nzawa Health Centre,12690,Basic primary health care facility,Public,,,KITUI,Operating
Thitani Health Centre,12797,Basic primary health care facility,Public,,,KITUI,Operating
Akachiu Health Centre,11923,Basic primary health care facility,Public,,,MERU,Operating
Laare Health Centre,12422,Basic primary health care facility,Public,,,MERU,Operating
Kitise Health Centre,12365,Basic primary health care facility,Public,,,MAKUENI,Operating
Shimo-La Tewa Health Centre (GK Prison),11395,Basic primary health care facility,Public,,,MOMBASA,Operating
Endarasha Rural Health Centre,10170,Basic primary health care facility,Public,,,NYERI,Operating
Kaongo Health Centre,12192,Basic primary health care facility,Public,,,MERU,Operating
Wingemi Health Centre,12848,Basic primary health care facility,Public,,,KITUI,Operating
Mathuki Health Centre,12483,Basic primary health care facility,Public,-1.047851,38.236317,KITUI,Operating
Kanyunga Health Centre,12186,Basic primary health care facility,Public,,,KITUI,Operating
Ngomeni Health Centre,12654,Basic primary health care facility,Public,,,KITUI,Operating
Tseikuru Sub-District Hospital,12805,Primary care hospitals,Public,,,KITUI,Operating
Sabuli Health Centre,13428,Basic primary health care facility,Public,0.350786,40.11164,WAJIR,Operating
Matayos Health Centre,16004,Basic primary health care facility,Public,,,BUSIA,Operating
Bumala A Health Centre,15823,Basic primary health care facility,Public,,,BUSIA,Operating
Malakisi Health Centre,15994,Basic primary health care facility,Public,,,BUNGOMA,Operating
Kasongo Dispensary,16282,Dispensaries and clinic-out patient only,Public,,,KERICHO,Operating
Abidha Health Centre,13461,Basic primary health care facility,Public,,,SIAYA,Operating
Ruiri Rural Health Demonstration Centre,12717,Basic primary health care facility,Public,,,MERU,Operating
Sigoti Health Centre,14086,Basic primary health care facility,Public,,,KISUMU,Operating
Athi River Health Centre,11936,Basic primary health care facility,Public,,,MACHAKOS,Operating
Amugaa Health Centre,11928,Basic primary health care facility,Public,,,MERU,Operating
Riotanchi Health Centre,14054,Basic primary health care facility,Public,,,KISII,Operating
New Heri Medical Centre,16180,Dispensaries and clinic-out patient only,Private,,,KILIFI,Operating
Lare Health Centre,15013,Basic primary health care facility,Public,,,NAKURU,Operating
Mariwa Health Centre,13778,Basic primary health care facility,Public,,,MIGORI,Operating
Ngorongo Health Centre,10872,Basic primary health care facility,Public,,,KIAMBU,Operating
Uringu Health Centre,12829,Basic primary health care facility,Public,,,MERU,Operating
Leshau Pondo Health Centre,10657,Basic primary health care facility,Public,,,NYANDARUA,Operating
Nyakianga Health Centre,10893,Basic primary health care facility,Public,,,MURANG'A,Operating
Limuru Health Centre,10661,Basic primary health care facility,Public,,,KIAMBU,Operating
Vipingo Rural Demonstration Health Centre,11881,Basic primary health care facility,Public,,,KILIFI,Operating
Nguluni Health Centre,12657,Basic primary health care facility,Public,,,MACHAKOS,Operating
Kunati Health Centre,12390,Basic primary health care facility,Public,,,MERU,Operating
Manyuanda Sub county Hospital,13770,Primary care hospitals,Public,,,KISUMU,Operating
Mukuyuni Health Centre,12565,Basic primary health care facility,Public,,,MAKUENI,Operating
Katse Health Centre,12242,Basic primary health care facility,Public,,,KITUI,Operating
Kimana Health Centre,14868,Basic primary health care facility,Public,,,KAJIADO,Operating
Ijara Health Centre,13370,Basic primary health care facility,Public,-1.599045,40.510569,GARISSA,Operating
Kanja Health Centre,12179,Basic primary health care facility,Public,,,EMBU,Operating
Kiambere Health Centre,16465,Basic primary health care facility,Public,,,EMBU,Operating
Mivukoni Health Centre,12539,Basic primary health care facility,Public,,,KITUI,Operating
Bomu Medical Hospital (Changamwe),11258,Primary care hospitals,Public,,,MOMBASA,Operating
Karatu Health Centre,10489,Basic primary health care facility,Public,,,KIAMBU,Operating
Wangige Health Centre,11170,Basic primary health care facility,Public,,,KIAMBU,Operating
Simba Health Centre,15574,Basic primary health care facility,Public,,,KAJIADO,Operating
Igegania Sub-District Hospital,10338,Primary care hospitals,Public,,,KIAMBU,Operating
Isinya Health Centre,14582,Basic primary health care facility,Public,,,KAJIADO,Operating
Manyuanda Health Centre (Rarieda),13771,Basic primary health care facility,Public,,,SIAYA,Operating
Kyeleni Health Centre,16438,Basic primary health care facility,Public,,,MACHAKOS,Operating
Kibugua Health Centre,12288,Basic primary health care facility,Public,,,THARAKA-NITHI,Operating
Doldol Sub District Hospital,14404,Primary care hospitals,Public,,,LAIKIPIA,Operating
Chasimba Health Centre,11282,Basic primary health care facility,Public,,,KILIFI,Operating
Bugumbe Health Centre,13517,Basic primary health care facility,Public,,,MIGORI,Operating
Oyani Health Centre,14009,Basic primary health care facility,Public,,,MIGORI,Operating
Kaliani Health Centre,12150,Basic primary health care facility,Public,,,MAKUENI,Operating
Ekwanda Health Centre,15870,Basic primary health care facility,Public,,,VIHIGA,Operating
Garsen Health Centre,11385,Basic primary health care facility,Public,,,TANA RIVER,Operating
Kisau Sub District Hospital,12341,Primary care hospitals,Public,,,MAKUENI,Operating
Illeret Health Centre (North Horr),12087,Basic primary health care facility,Public,,,MARSABIT,Operating
Lari Hospital,10655,Basic primary health care facility,Public,,,KIAMBU,Operating
Mile 46 Health Centre,15185,Basic primary health care facility,Public,,,KAJIADO,Operating
Sericho Health Centre,12729,Basic primary health care facility,Public,,,ISIOLO,Operating
Liboi Health Centre,13398,Basic primary health care facility,Public,,,GARISSA,Operating
Gategi Health Centre,16463,Basic primary health care facility,Public,,,EMBU,Operating
Nairobi South Hospital,13112,Primary care hospitals,Private,,,NAIROBI,Operating
St Lukes (Kona) Health Centre,13213,Basic primary health care facility,Private,,,NAIROBI,Operating
St Teresa's Health Centre,13227,Basic primary health care facility,Private,,,NAIROBI,Operating
Wema Nursing Home,13256,Basic primary health care facility,Private,,,NAIROBI,Operating
Mars Associate Medical Centre,15143,Basic primary health care facility,Private,,,KAJIADO,Operating
St Catherine's Health Centre,13200,Basic primary health care facility,Private,,,NAIROBI,Operating
St Florence Medical Care Health Centre,13201,Dispensaries and clinic-out patient only,Private,,,NAIROBI,Operating
Lianas Clinic Health Centre,13049,Dispensaries and clinic-out patient only,Private,,,NAIROBI,Operating
Padens Medicare Centre,13137,Dispensaries and clinic-out patient only,Private,,,NAIROBI,Operating
Nairobi Outpatient Centre,13111,Dispensaries and clinic-out patient only,Private,,,NAIROBI,Operating
Ray of Hope Health Centre,13159,Basic primary health care facility,Private,,,NAIROBI,Operating
Amani Medical Centre (Suneka),13474,Dispensaries and clinic-out patient only,Private,,,KISII,Operating
Mid Hill Medical Clinic,13091,Basic primary health care facility,Private,,,NAIROBI,Operating
Frepals Community Nursing Home,12944,Basic primary health care facility,Public,,,NAIROBI,Operating
Muteithania Medical Clinic,13103,Basic primary health care facility,Private,,,NAIROBI,Operating
Kisimani Health Services,11489,Basic primary health care facility,Private,,,MOMBASA,Operating
St Mary's Medical Clinic (Sarang'ombe),13216,Basic primary health care facility,Private,,,NAIROBI,Operating
Spacecare Health Services,13212,Basic primary health care facility,Private,,,NAIROBI,Operating
Kisumu County Hospital,13704,Secondary care hospitals,Public,,,KISUMU,Operating
St Luke's (ACK) Hospital Kaloleni,11818,Primary care hospitals,Faith-Based,,,KILIFI,Operating
Egerton University,14426,Primary care hospitals,Public Institution,,,NAKURU,Operating
Migori District Hospital,13805,Secondary care hospitals,Public,,,MIGORI,Operating
Mikinduri Sub-District Hospial,12525,Primary care hospitals,Public,,,MERU,Operating
Marani District Hospital,13772,Secondary care hospitals,Public,,,KISII,Operating
Nyahera Sub District Hospital,13880,Primary care hospitals,Public,,,KISUMU,Operating
Kombewa Sub County Refferal Hospital,13714,Secondary care hospitals,Public,,,KISUMU,Operating
Garbatulla District Hospital,12029,Secondary care hospitals,Public,,,ISIOLO,Operating
Nyakach Sub County Hospital,13921,Secondary care hospitals,Public,,,KISUMU,Operating
Khorof Harar Sub-District Hospital,13380,Primary care hospitals,Public,,,WAJIR,Operating
Kiria-Ini Mission Hospital,10627,Primary care hospitals,Faith-Based,,,MURANG'A,Operating
St Mary's Health Centre,13217,Basic primary health care facility,Private,,,NAIROBI,Operating
Kilifi County Hospital,11474,Secondary care hospitals,Public,,,KILIFI,Operating
Kitui District Hospital,12366,Secondary care hospitals,Public,,,KITUI,Operating
Usoma Dispensary,16664,Dispensaries and clinic-out patient only,Public,,,KISUMU,Operating
Kyuso District Hospital,12420,Secondary care hospitals,Public,,,KITUI,Operating
Ijara District Hospital - Masalani,13406,Secondary care hospitals,Public,,,GARISSA,Operating
Hagadera Hospital,13359,Primary care hospitals,Public,,,GARISSA,Operating
St Augustine Youth Friendly Centre,15629,VCT,Kenya Episcopal Conference-Cat,,,TURKANA,Operating
Miranga Sub County Hospital,13810,Primary care hospitals,Public,,,KISUMU,Operating
Lafey Sub-County Hospital,13392,Primary care hospitals,Public,,,MANDERA,Operating
Isibania Sub-District Hospital,13625,Primary care hospitals,Public,,,MIGORI,Operating
Tumutumu (PCEA) Hospital,11124,Primary care hospitals,Christian Health Association o,,,NYERI,Operating
Butere District Hospital,15836,Secondary care hospitals,Public,,,KAKAMEGA,Operating
Kima Mission Hospital,15946,Primary care hospitals,Christian Health Association o,,,VIHIGA,Operating
Keumbu Medical Clinic,13679,Dispensaries and clinic-out patient only,Private,,,KISII,Operating
Timau Sub-District Hospital,12802,Primary care hospitals,Public,,,MERU,Operating
Chulaimbo Sub-District Hospital,13528,Primary care hospitals,Public,,,KISUMU,Operating
Chuka District Hospital,11973,Secondary care hospitals,Public,,,THARAKA-NITHI,Operating
Gatundu District Hospital,10233,Secondary care hospitals,Public,,,KIAMBU,Operating
Ibeno Sub-District Hospital,13612,Primary care hospitals,Public,,,KISII,Operating
St. John of God Hospital Tigania,12799,Primary care hospitals,Kenya Episcopal Conference-Cat,,,MERU,Operating
Karatina District Hospital,10485,Secondary care hospitals,Public,,,NYERI,Operating
Modogashe Sub-County Hospital,13411,Secondary care hospitals,Public,,,GARISSA,Operating
Mary Immaculate Hospital (Nyeri North),10700,Primary care hospitals,Kenya Episcopal Conference-Cat,,,NYERI,Operating
Kapsabet County Referral Hospital,14749,Secondary care hospitals,Public,,,NANDI,Operating
Makindu Sub-County Hospital,12455,Secondary care hospitals,Public,,,MAKUENI,Operating
Bura District Hospital,13339,Secondary care hospitals,Public,,,GARISSA,Operating
Kanyangi Sub-District Hospital,12184,Primary care hospitals,Public,,,KITUI,Operating
Msambweni District Hospital,11655,Secondary care hospitals,Public,,,KWALE,Operating
Mutuati Sub-District Hospital,12605,Primary care hospitals,Public,,,MERU,Operating
Makueni District Hospital,12457,Secondary care hospitals,Public,,,MAKUENI,Operating
Kabondo Sub-District Hospital,13638,Primary care hospitals,Public,,,HOMA BAY,Operating
Kibirichia Sub-District Hospital,12282,Primary care hospitals,Public,,,MERU,Operating
Lamu District Hospital,11512,Secondary care hospitals,Public,,,LAMU,Operating
Kirwara Sub District,10639,Primary care hospitals,Public,,,MURANG'A,Operating
Bute District Hospital,13314,Secondary care hospitals,Public,,,WAJIR,Operating
Mpeketoni Sub-District Hospital,11649,Primary care hospitals,Public,,,LAMU,Operating
Mutitu Sub-District Hospital,12601,Primary care hospitals,Public,,,KITUI,Operating
Mwala Subcounty Hospital,12618,Secondary care hospitals,Public,,,MACHAKOS,Operating
Tawa Sub-Distrct Hospial,12787,Primary care hospitals,Public,,,MAKUENI,Operating
Kangema Sub-District Hospital,10470,Primary care hospitals,Public,,,MURANG'A,Operating
Kalimoni Hospital (Thika),10438,Primary care hospitals,Kenya Episcopal Conference-Cat,,,KIAMBU,Operating
Elburgon Sub-District Hospital,14431,Primary care hospitals,Public,,,NAKURU,Operating
Mbooni District Hospital,12508,Secondary care hospitals,Public,,,MAKUENI,Operating
Kaloleni Dispensary,12998,Dispensaries and clinic-out patient only,Public,,,NAIROBI,Operating
Nuu Sub-District Hospital,12681,Primary care hospitals,Public,,,KITUI,Operating
Kimilili Subcounty Hospital,15950,Secondary care hospitals,Public,,,BUNGOMA,Operating
Muhuru Health Centre,13833,Comprehensive primary health care facility,Public,,,MIGORI,Operating
Griftu District Hospital,13352,Secondary care hospitals,Public,,,WAJIR,Operating
Manga District Hospital,13766,Secondary care hospitals,Public,,,NYAMIRA,Operating
Navakholo Sub-District Hospital,16078,Primary care hospitals,Public,,,KAKAMEGA,Operating
Murang'a District Hospital,10777,Secondary care hospitals,Public,,,MURANG'A,Operating
Yala Sub-District Hospital,14175,Primary care hospitals,Public,,,SIAYA,Operating
Al Farooq Hospital,11208,Primary care hospitals,Private,,,MOMBASA,Operating
Kendu Sub-District Hospital,13668,Primary care hospitals,Public,,,HOMA BAY,Operating
Molo District Hospital,15212,Secondary care hospitals,Public,,,NAKURU,Operating
Mikumbune Sub-District Hospital,12526,Primary care hospitals,Public,,,MERU,Operating
Kandiege Sub-District Hospital,13653,Primary care hospitals,Public,,,HOMA BAY,Operating
Got Agulu Sub-District Hospital,13588,Primary care hospitals,Public,,,SIAYA,Operating
Mandera West Sub County Hospital,13445,Secondary care hospitals,Public,,,MANDERA,Operating
Muriranjas Sub-District Hospital,10782,Primary care hospitals,Public,,,MURANG'A,Operating
Olenguruone Sub-District Hospital,15398,Primary care hospitals,Public,,,NAKURU,Operating
Kenyenya District Hospital,13673,Secondary care hospitals,Public,,,KISII,Operating
Lowarengak Health Center,15096,Dispensaries and clinic-out patient only,Kenya Episcopal Conference-Cat,,,TURKANA,Operating
Mukurweini District Hospital,10763,Secondary care hospitals,Public,,,NYERI,Operating
Mariakani District Hospital,11566,Secondary care hospitals,Public,,,KILIFI,Operating
Ndhiwa Sub-District Hospital,13841,Primary care hospitals,Public,,,HOMA BAY,Operating
Madiany Sub County  Hospital,13747,Primary care hospitals,Public,,,SIAYA,Operating
Nyacheki Sub County Hospital,13867,Primary care hospitals,Public,,,KISII,Operating
Sirisia Hospital,16130,Primary care hospitals,Public,,,BUNGOMA,Operating
Siaya District Hospital,14080,Secondary care hospitals,Public,,,SIAYA,Operating
Kwale District Hospital,11507,Secondary care hospitals,Public,,,KWALE,Operating
Kajiado District Hospital,14652,Secondary care hospitals,Public,,,KAJIADO,Operating
Meru District Hospital,12516,Secondary care hospitals,Public,,,MERU,Operating
Thika Level 5 Hospital,11094,Comprehensive Teaching &Referral,Public,,,KIAMBU,Operating
Buna Sub-District Hospital,13312,Primary care hospitals,Public,,,WAJIR,Operating
Migwani Sub-District Hospital,12523,Primary care hospitals,Public,,,KITUI,Operating
Rangwe Sub-District Hospital,14036,Secondary care hospitals,Public,,,HOMA BAY,Operating
Mandera County Refferal Hospital,13402,Secondary care hospitals,Public,,,MANDERA,Operating
Mbeu Sub-District Hospital,12500,Primary care hospitals,Public,,,MERU,Operating
Kiogoro Health Centre,13696,Basic primary health care facility,Public,,,KISII,Operating
Kalawa Health Centre,12147,Basic primary health care facility,Public,,,MAKUENI,Operating
Kuria District Hospital,13726,Secondary care hospitals,Public,,,MIGORI,Operating
Mandera Central Sub county Hospital,13335,Secondary care hospitals,Public,,,MANDERA,Operating
Moyale District Hospital,12544,Secondary care hospitals,Public,,,MARSABIT,Operating
Nduru District Hospital,13847,Secondary care hospitals,Public,,,KISII,Operating
Kacheliba District Hospital,14634,Secondary care hospitals,Public,,,WEST POKOT,Operating
Bondo District Hospital,13507,Secondary care hospitals,Public,,,SIAYA,Operating
Tharaka District Hospital,12795,Secondary care hospitals,Public,,,THARAKA-NITHI,Operating
Marsabit District Hospital,12472,Secondary care hospitals,Public,,,MARSABIT,Operating
Jalish Dispensary,13374,Dispensaries and clinic-out patient only,Public,,,GARISSA,Operating
Iftin Sub-District Hospital,13369,Primary care hospitals,Public,,,GARISSA,Operating
Githongo District Hospital,12041,Secondary care hospitals,Public,,,MERU,Operating
Ntimaru Sub-County Hospital,13858,Primary care hospitals,Public,,,MIGORI,Operating
Tigoni District Hospital,11104,Secondary care hospitals,Public,,,KIAMBU,Operating
Hulugho Sub-District Hospital,13365,Primary care hospitals,Public,,,GARISSA,Operating
Nyamusi Sub-District Hospital,13916,Primary care hospitals,Public,,,NYAMIRA,Operating
Ekerenyo Sub-District Hospital,13540,Primary care hospitals,Public,,,NYAMIRA,Operating
Ngong Sub-District Hospital,15351,Primary care hospitals,Public,,,KAJIADO,Operating
Mwingi District Hospital,12626,Secondary care hospitals,Public,,,KITUI,Operating
Emmanuel M/C VCT Centre,10167,VCT,Public Institution,,,KIAMBU,Operating
Bodhai Dispensary,13308,Dispensaries and clinic-out patient only,Public,,,GARISSA,Operating
Outspan Hospital,10924,Primary care hospitals,Private,-0.423946,36.935445,NYERI,Operating
Thika Nursing Home,11097,Primary care hospitals,Private,,,KIAMBU,Operating
Mbagathi District Hospital,13080,Secondary care hospitals,Public,,,NAIROBI,Operating
Mandera North Sub county Hospital,13423,Primary care hospitals,Public,,,MANDERA,Operating
Rongo District Hospital,14058,Secondary care hospitals,Public,,,MIGORI,Operating
Iyabe District Hospital (Kisii South),13631,Secondary care hospitals,Public,,,KISII,Operating
Gesusu Sub-District Hospital,13564,Primary care hospitals,Public,,,KISII,Operating
Gucha District Hospital,13594,Secondary care hospitals,Public,,,KISII,Operating
Karungu Sub-District Hospital,13656,Primary care hospitals,Public,,,MIGORI,Operating
Masimba Sub-District Hospital,13783,Primary care hospitals,Public,,,KISII,Operating
Homa Bay County Teaching and Referral Hospital,13608,Secondary care hospitals,Public,,,HOMA BAY,Operating
Kegonga Sub County Hospital,13663,Secondary care hospitals,Public,,,MIGORI,Operating
Kimbimbi Sub-District Hospital,10609,Primary care hospitals,Public,,,KIRINYAGA,Operating
Nyamira District Hospital,13912,Secondary care hospitals,Public,,,NYAMIRA,Operating
Masaba District Hospital,13678,Secondary care hospitals,Public,,,NYAMIRA,Operating
Loitokitok District Hospital,15051,Secondary care hospitals,Public,,,KAJIADO,Operating
Central Memorial Hospital,10083,Primary care hospitals,Private,,,KIAMBU,Operating
Bultohama Dispensary,16285,Dispensaries and clinic-out patient only,Public,,,GARISSA,Operating
Magadi Hospital,15107,Primary care hospitals,Company Medical Service,,,KAJIADO,Operating
Garissa Provincial General Hospital (PGH),13346,Comprehensive Teaching &Referral,Public,,,GARISSA,Operating
Nyeri Provincial General Hospital (PGH),10903,Comprehensive Teaching &Referral,Public,,,NYERI,Operating
Jamii Hospital,10368,Secondary care hospitals,Private,-0.478425,37.131134,NYERI,Operating
Maralal District Hospital,15126,Secondary care hospitals,Public,,,SAMBURU,Operating
Godoma Health Centre (Nep),13351,Basic primary health care facility,Public,,,WAJIR,Operating
Kangundo District Hospital,12177,Secondary care hospitals,Public,,,MACHAKOS,Operating
Port Reitz District Hospital,11740,Secondary care hospitals,Public,,,MOMBASA,Operating
Embu Provincial General Hospital,12004,Comprehensive Teaching &Referral,Public,,,EMBU,Operating
Kisii Hospital (Level 5),13703,Secondary care hospitals,Public,,,KISII,Operating
Wakula Health Centre,14169,Basic primary health care facility,Public,,,HOMA BAY,Operating
Yokia Dispensary,14176,Dispensaries and clinic-out patient only,Public,,,HOMA BAY,Operating
Coast Province General Hospital,11289,Comprehensive Teaching &Referral,Public,,,MOMBASA,Operating
Kamasengere Dispensary,13650,Dispensaries and clinic-out patient only,Christian Health Association o,,,HOMA BAY,Operating
Ng'odhe Island Dispensary,13854,Dispensaries and clinic-out patient only,Public,,,HOMA BAY,Operating
St Mary's Health Centre (Mbita),14119,Basic primary health care facility,Kenya Episcopal Conference-Cat,,,HOMA BAY,Operating
Tuungane Youth Centre (Mbita),14154,VCT,Public,,,HOMA BAY,Operating
Obalwanda Dispensary,13950,Dispensaries and clinic-out patient only,Public,,,HOMA BAY,Operating
Ponge Dispensary (Mbita),14016,Dispensaries and clinic-out patient only,Public,,,HOMA BAY,Operating
Ndhuru Dispensary,13842,Dispensaries and clinic-out patient only,Public,,,HOMA BAY,Operating
Usao Health Centre,14162,Basic primary health care facility,Public,,,HOMA BAY,Operating
Lwanda Gwassi Dispensary,13742,Dispensaries and clinic-out patient only,Public,,,HOMA BAY,Operating
Kisaku Dispensary,13700,Dispensaries and clinic-out patient only,Public,,,HOMA BAY,Operating
Kiwa Island Dispensary,13707,Dispensaries and clinic-out patient only,Public,,,HOMA BAY,Operating
St Mercelline Roo Dispensary (Suba),14059,Dispensaries and clinic-out patient only,Faith-Based,,,HOMA BAY,Operating
Nyagwethe Dispensary,13879,Dispensaries and clinic-out patient only,Kenya Episcopal Conference-Cat,,,HOMA BAY,Operating
Mama Josphene Clinic,13764,Dispensaries and clinic-out patient only,Private,,,HOMA BAY,Operating
Kigwa Dispensary,13691,Dispensaries and clinic-out patient only,Public,,,HOMA BAY,Operating
Sururu Health Centre (CDF),16407,Basic primary health care facility,Public,,,NAKURU,Operating
Kenyatta National Hospital,13023,Comprehensive Teaching &Referral,Public,-1.301092,36.808599,NAIROBI,Operating
Kapkoi Health Centre (Kwanza),14720,Basic primary health care facility,Public,,,TRANS NZOIA,Operating
Emali Nursing Home,12002,Dispensaries and clinic-out patient only,Private,,,MAKUENI,Operating
Barazani Medical Clinic,11946,Dispensaries and clinic-out patient only,Private,,,MAKUENI,Operating
Emali Manchester Medical Clinic,12467,Dispensaries and clinic-out patient only,Private,,,MAKUENI,Operating
Kisegi Sub-District Hospital,13701,Primary care hospitals,Public,,,HOMA BAY,Operating
Suba District Hospital,14130,Secondary care hospitals,Public,,,HOMA BAY,Operating
Mbita District Hospital,13798,Secondary care hospitals,Public,-0.42277,34.208125,HOMA BAY,Operating
Jawabu Medical Clinic,14593,Dispensaries and clinic-out patient only,Private,,,TURKANA,Operating
Magunga Health Centre,13753,Basic primary health care facility,Public,,,HOMA BAY,Operating
Kakuma Refugee Hospital,14579,Primary care hospitals,Public,,,TURKANA,Operating
Ogongo Sub-District Hospital,13967,Primary care hospitals,Public,,,HOMA BAY,Operating
Sena Health Centre,14075,Basic primary health care facility,Public,,,HOMA BAY,Operating
Ugina Health Centre,14155,Basic primary health care facility,Public,,,HOMA BAY,Operating
Takawiri Dispensary,14140,Dispensaries and clinic-out patient only,Public,,,HOMA BAY,Operating
Soklo Dispensary,14095,Dispensaries and clinic-out patient only,Public,,,HOMA BAY,Operating
Tom Mboya Memorial Health Centre,14150,Basic primary health care facility,Public,,,HOMA BAY,Operating
Kitare Health Centre,13705,Basic primary health care facility,Public,,,HOMA BAY,Operating
Viagenco Medical Centre,14167,Dispensaries and clinic-out patient only,Public,,,HOMA BAY,Operating
Tonga Health Centre,14152,Basic primary health care facility,Kenya Episcopal Conference-Cat,,,HOMA BAY,Operating
Godbura Health Centre,13585,Basic primary health care facility,Public,,,HOMA BAY,Operating
Seka Health Centre,14074,Basic primary health care facility,Public,,,HOMA BAY,Operating
Msare Health Centre,13828,Basic primary health care facility,Public,,,HOMA BAY,Operating
Nyamrisra Health Centre,13915,Basic primary health care facility,Public,,,HOMA BAY,Operating
Kolongolo C.M Dispensary,14981,Dispensaries and clinic-out patient only,Faith-Based,,,BUNGOMA,Operating
Kilili Dispensary,12312,Dispensaries and clinic-out patient only,Public,,,MAKUENI,Operating
Masumba Dispensary,12478,Dispensaries and clinic-out patient only,Public,,,MAKUENI,Operating
Mutiluni Dispensary,12596,Dispensaries and clinic-out patient only,Public,,,MAKUENI,Operating
Mutyambua Dispensary,12610,Dispensaries and clinic-out patient only,Public,,,MAKUENI,Operating
Mwanyani Dispensary,12622,Dispensaries and clinic-out patient only,Public,,,MAKUENI,Operating
Mweini Dispensary,12623,Dispensaries and clinic-out patient only,Public,,,MAKUENI,Operating
Kwale Dispensary,12399,Dispensaries and clinic-out patient only,Public,,,MAKUENI,Operating
Kaeris Dispensary,14637,Dispensaries and clinic-out patient only,Public,,,TURKANA,Operating
Kakuma Medical Clinic,14654,Dispensaries and clinic-out patient only,Private,,,TURKANA,Operating
Terige Dispensary (CDF),16417,Dispensaries and clinic-out patient only,Public,,,NANDI,Operating
Loruth Dispensary,15092,Dispensaries and clinic-out patient only,Public,,,TURKANA,Operating
Malka Galla Dispensary,12462,Dispensaries and clinic-out patient only,Public,,,ISIOLO,Operating
GK Prison Dispensary (Isiolo),12046,Dispensaries and clinic-out patient only,Public,,,ISIOLO,Operating
Apu Dispensary,11933,Dispensaries and clinic-out patient only,Public,,,ISIOLO,Operating
Kipsing Dispensary,12330,Dispensaries and clinic-out patient only,Public,,,ISIOLO,Operating
Ngoron Dispensary,15352,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
Kolowa Health Centre,14979,Basic primary health care facility,Public,,,BARINGO,Operating
Loiwat Dispensary,15053,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
Barpello Dispensary,14235,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
Korbesa Dispensary,12384,Dispensaries and clinic-out patient only,Public,,,ISIOLO,Operating
Kayole II Sub-District Hospital,13016,Basic primary health care facility,Public,,,NAIROBI,Operating
Salama (Baptist) Nursing Home,12724,Dispensaries and clinic-out patient only,Faith-Based,,,MAKUENI,Operating
