facility_name,facility_code,facility_type,facility_ownership,latitude,longitude,admin1,status
Raphamed Health Care Services,20702,Dispensaries and clinic-out patient only,Private,,,MACHAKOS,Operating
Paragon Health Care Ltd,20701,Dispensaries and clinic-out patient only,Private,,,NAIROBI,Operating
Earnest Medical Point Centre,20699,Dispensaries and clinic-out patient only,Private,,,MACHAKOS,Operating
Lolkuta North Dispensary,20698,Dispensaries and clinic-out patient only,Public,,,WAJIR,Operating
Barmil Dispensary,20697,Dispensaries and clinic-out patient only,Public,,,WAJIR,Operating
Vigetse Women Group Medical Clinic,20692,Dispensaries and clinic-out patient only,Private,,,VIHIGA,Operating
Lakole Dispensary,20690,Dispensaries and clinic-out patient only,Public,,,WAJIR,Operating
Abdiwaqo Dispensary,20689,Dispensaries and clinic-out patient only,Public,,,WAJIR,Operating
Anole Dispensary,20688,Dispensaries and clinic-out patient only,Public,2.494191,39.723583,WAJIR,Operating
Dadhantaly Dispensary,20687,Dispensaries and clinic-out patient only,Public,,,WAJIR,Operating
Balatula Amin Dispensary,20686,Dispensaries and clinic-out patient only,Public,,,WAJIR,Operating
Gilgil Centre of Hope,20683,Dispensaries and clinic-out patient only,Private,,,NAKURU,Operating
Kitogo Dispensary,20682,Dispensaries and clinic-out patient only,Public,,,NYANDARUA,Operating
Wang'any Dispensary,20678,Dispensaries and clinic-out patient only,Public,,,TURKANA,Operating
Kisera Dispensary,20677,Dispensaries and clinic-out patient only,Public,,,WEST POKOT,Operating
Kirinyaga University College Dispensary,20676,Dispensaries and clinic-out patient only,Public Institution,,,KIRINYAGA,Operating
Sostin  Dispensary,20675,Dispensaries and clinic-out patient only,Public,,,WEST POKOT,Operating
Kamuchisu Dispensary,20674,Dispensaries and clinic-out patient only,Public,,,KAKAMEGA,Operating
Ekambuli Health Centre,20673,Basic primary health care facility,Public,,,KAKAMEGA,Operating
Mungungune Dispensary,20672,Dispensaries and clinic-out patient only,Public,,,KAKAMEGA,Operating
Lubanga Dispensary,20671,Dispensaries and clinic-out patient only,Public,,,KAKAMEGA,Operating
Cana Medical Clinic,20670,Dispensaries and clinic-out patient only,Private,,,MACHAKOS,Operating
Roselyne Medical Centre,20669,Dispensaries and clinic-out patient only,Private,,,MACHAKOS,Operating
St Agnes Health Care Clinic,20668,Dispensaries and clinic-out patient only,Private,,,KISII,Operating
Okana Dispensary,20666,Dispensaries and clinic-out patient only,Public,,,KISUMU,Operating
Kimbo Healthcare Centre,20663,Dispensaries and clinic-out patient only,Private,,,KIAMBU,Operating
Narengewoi Dispensary,20660,Dispensaries and clinic-out patient only,Public,,,TURKANA,Operating
