facility_name,facility_code,facility_type,latitude,longitude,admin1,status,ownership,country,data_source,coordinate_valid,open_date,open_year,uid,admin2,zone,coordinate_source,ownership_detail,catchment_population,urban_rural_strata,inpatient,outpatient,maternity,emergency,laboratory,malaria_services,extraction_date,data_quality_flag
Vision Medical Centre (Kagumo),24269,Medical Clinic,-0.4642,37.23719,Kirinyaga,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Baricho Subcounty Hospital,10049,Primary care hospitals,-0.55313,37.23931,Kirinyaga,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Olenguruone Medical Diagnostic Centre Olpusimoru,31992,Medical Clinic,-0.574497,35.721547,Narok,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Ewaso Ngiro Medicare Centre,32006,Medical Clinic,-1.1540196,35.7616258,Narok,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Tia Clinics,32195,Medical Clinic,-1.25787,36.833167,Nairobi,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Royo Hospital Ltd,28494,Medical Center,0.44669,34.85614,Kakamega,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
St James  Amenity Hospital,20468,Medical Center,0.20866,34.49344,Kakamega,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Bula Elmi Dispensary,32113,Dispensary,1.7382417,40.1059,Wajir,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Sitawario Dispensary,32114,Dispensary,1.7317969,40.3341307,Wajir,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Qahira Dispensary,32115,Dispensary,1.7426803,40.2021571,Wajir,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Gotade Dispensary,32116,Dispensary,1.7680359,40.0433745,Wajir,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Perlove Medical Clinic,NA,Medical Clinic,-0.4684335,34.0719723,Homa Bay,Closed,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Balatwein Dispensary,32117,Dispensary,1.766739,40.1872939,Wajir,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Pona Medical Clinic (kadel),32105,Medical Clinic,-0.44749,34.578435,Homa Bay,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
ST. Philips ACK Oruba Dispensary,32138,Dispensary,-0.968396,34.527823,Migori,Operating,Faith-Based / NGO,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Jaks Medicare,32719,Medical Center,-0.469635,37.652195,Embu,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kotedo Dispensary,32139,Dispensary,-0.98252,34.527163,Migori,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Red Tribe Maasai Health Care Clinic,29795,Medical Clinic,-1.958849,35.837202,Narok,Operating,Faith-Based / NGO,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Nkaroni Dispensary Narok South,30104,Dispensary,-0.83373,35.62419,Narok,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Nchurra Dispensary,25919,Dispensary,-0.91074,35.65625,Narok,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Ololoipang'I Dispensary,31027,Dispensary,-0.864875,35.691427,Narok,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Entinki Dispensary,32005,Dispensary,-0.877077,36.122807,Narok,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Lanbib Dispensary,32118,Dispensary,1.7692256,40.1810927,Wajir,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Mikumbune Sub-District Hospital,12526,Basic Health Centre,-0.07809,37.61783,Meru,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kinoro Sub-County  Hospital,12325,Basic Health Centre,-0.17948,37.62503,Meru,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kibirichia Sub-District Hospital,12282,Basic Health Centre,0.11012,37.51362,Meru,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Benga Dispensary (Migori),32141,Dispensary,-1.039427,34.550443,Migori,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Mida-Majaoni Dispensary,29260,Dispensary,-3.3547,39.93477,Kilifi,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Medimaxin,32344,Medical Clinic,-1.315666,36.889433,Nairobi,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Shaffi Hospital Limited,32103,Medical Center,2.2087913,40.1183236,Wajir,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Harade Dispensary,32119,Dispensary,2.775052,39.091756,Wajir,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Agiso Healthcare,32104,Medical Center,-0.5096373,34.7313878,Homa Bay,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
ST VERONICA,32128,Medical Clinic,-1.0112637,36.9027669,Kiambu,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Sarman Mandera Dispensary,31681,Dispensary,3.79742,40.5993,Mandera,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Githongo Sub-County Hospital,12041,Comprehensive Health Centre,-0.005418,37.592704,Meru,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Mount Olive  Sinai Hospital Limited,15581,Primary care hospitals,-1.387979,36.76463,Kajiado,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Eurocity Medical Clinic,28389,Medical Clinic,-0.12509,34.79108,Kisumu,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Chalondra Healthcare Clinic,32231,Medical Clinic,0.303237,34.203012,Busia,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Hope Matters International DICE Bomet,32442,Medical Center,-0.776619,35.34033,Bomet,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Beacon of Hope Clinic (Ongata Rongai),16667,Medical Clinic,-1.39401,36.76284,Kajiado,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Rongai Orthopaedics Medical Services,18314,Medical Center,-1.39619,36.76334,Kajiado,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kerugoya Medical Centre,10522,Primary care hospitals,-0.462783,37.262034,Kirinyaga,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Stamax Medical Centre,26319,Medical Center,-0.4782284,37.2432012,Kirinyaga,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Floder Medical Centre,26320,Medical Center,-0.56393354,37.26635,Kirinyaga,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Medlife Health Care,24614,Medical Center,-0.620109,37.253434,Kirinyaga,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Mikinduri Sub-District Hospial,12525,Basic Health Centre,0.12386,37.83748,Meru,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Fairhaven Medicare (Jua kali),32110,Basic Health Centre,0.60109,35.15813,Uasin Gishu,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kedoc Medical Services,32112,Medical Clinic,0.044005,34.71617,Vihiga,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Nippon Uzima Afya Medical Centre,32094,Medical Center,-1.2037318,36.8321244,Kiambu,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Madaholol Dispensary,26058,Dispensary,0.110108,40.324309,Garissa,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Promise CFW Clinic,32204,Medical Clinic,-0.42886,37.47852,Embu,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Hagadera Health Centre,13359,Comprehensive Health Centre,0.01072,40.27151,Garissa,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Modesty Medical Centre,20482,Medical Center,-0.6838,37.35418,Kirinyaga,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Matuu Level 4 Hospital,12488,Primary care hospitals,-1.148099,37.534611,Machakos,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Mtaragon Health Centre,15242,Basic Health Centre,-0.1121,35.42033,Kericho,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kalyet Clinic (Kipkelion),14665,Medical Clinic,-0.12211,35.50582,Kericho,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Magire Dispensary,29255,Dispensary,-0.12745,35.374362,Kericho,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kipsinende Dispensary,29254,Dispensary,-0.147529,35.353437,Kericho,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kalyet Dispensary,29257,Dispensary,-0.116029,35.502771,Kericho,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Tingatella Dispensary(Kipkelion),29544,Dispensary,-0.159147,35.438828,Kericho,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kipkelion Sub County Hospital,14897,Primary care hospitals,-0.19425,35.4642,Kericho,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Dir-Eela Dispensary,26061,Dispensary,0.11010831,40.32430914,Garissa,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Mariba Dispensary,32087,Dispensary,-1.004227,34.204683,Migori,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Dagahaley Health Centre,13318,Comprehensive Health Centre,0.110108,40.324309,Garissa,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Darkenley Health Centre,18799,Comprehensive Health Centre,-0.1,39.901,Garissa,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Mollem Medical Clinic,28675,Medical Clinic,-0.12382112,34.7940011,Kisumu,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Ulutya Dispensary,32095,Dispensary,-0.97235,37.69024,Machakos,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Afyaline Salgaa Medical Center,32090,Medical Center,-0.20825085,35.8514,Nakuru,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Painless Dental Clinic,32334,Medical Clinic,0.037704,36.364712,Laikipia,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Vitcare Medical,32375,Medical Clinic,-0.700067,36.4354,Nakuru,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Sipili Hospital,32333,Medical Center,0.406945,36.3795143,Laikipia,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
equity afia medical center Kenyatta road,32126,Medical Center,-1.1272,37.00736,Kiambu,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Mercury Medicic,32096,Medical Clinic,-1.22234,36.72147,Kiambu,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Lusiru Dispensary,32557,Dispensary,-0.495942,36.02997679,Nakuru,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Bonje Dispensary,32097,Dispensary,-4.011003,39.545421,Kwale,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Haban Afya Health Services,32147,Medical Clinic,-1.22227,36.8667,Nairobi,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kwamangeli Athiriver Community Health Care,30883,Medical Center,-1.44522,36.97681,Machakos,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Divine Mercy Medical Centre,30882,Dispensary,-1.54244,37.14646,Machakos,Operating,Other,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Abuu Amira Nursing Home,32161,Nursing Homes,-0.435865,39.660057,Garissa,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Yunasi Medical Centre,20087,Medical Center,-0.74927,37.81712,Embu,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Tulu Dispensary,32088,Dispensary,-0.971688,34.154064,Migori,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Eldoret Polytechnic Health Centre,32078,Basic Health Centre,0.270209,35.270209,Uasin Gishu,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Future- Med Specialist and Maternity Hospital LTD,32182,Nursing and Maternity Home,-1.2682253000000001,36.8411277,Nairobi,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Vote Dispensary,17937,Dispensary,-1.80371,38.198999,Kitui,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Ndatani Dispensary(Kitui South),12636,Dispensary,-1.841773,38.0674316,Kitui,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Wings Medical \u0026 Eye Clinc-Nakuru,32091,Medical Clinic,-0.3215871,36.1354005,Nakuru,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Davicare Medical Clinic-Ngata Bridge,32089,Medical Clinic,-0.21235,36.0058,Nakuru,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Ngondu Dispensary,32092,Dispensary,-0.26333,35.88492,Nakuru,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Coptic Hospital Salgaa,32093,Primary care hospitals,-0.2105526,35.8622445,Nakuru,Operating,Faith-Based / NGO,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kamalel Health Centre,25672,Basic Health Centre,0.466246,35.274475,Uasin Gishu,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
St. Michael'S Koliech Medical Clinic,32069,Medical Clinic,-0.3663826,34.5253551,Homa Bay,Operating,Other,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Intrerail Community Health Services Ltd,32217,Medical Center,-1.4781703,36.9524158,Kajiado,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
MTM Medical Centre,32084,Medical Clinic,-0.96565,37.11804,Muranga,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kioru Dispensary,32072,Dispensary,-1.071727,34.359969,Migori,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Nkishui Medicare Centre,33825,Medical Clinic,1.15104,36.499966,Samburu,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Outreach Medical Centre,24755,Medical Clinic,-1.055833,36.8591,Kiambu,Non-Operational,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Plainsview Nursing Home LTD,10940,Primary care hospitals,-1.1554213,36.9596693,Kiambu,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Namba Medicare,31468,Medical Clinic,-1.09445,34.45604,Migori,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kirimara Opticals LTD - Embu CBD,31473,Medical Clinic,-0.5345028,37.450884,Embu,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Equity Afia Joska,31647,Medical Center,-1.28357,37.10206,Machakos,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Jaystel Medical Centre(Kirinyaga),31991,Medical Clinic,-0.663451,37.29486,Kirinyaga,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-005385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
