facility_name,facility_code,facility_type,latitude,longitude,admin1,status,ownership,country,data_source,coordinate_valid,open_date,open_year,uid,admin2,zone,coordinate_source,ownership_detail,catchment_population,urban_rural_strata,inpatient,outpatient,maternity,emergency,laboratory,malaria_services,extraction_date,data_quality_flag
Emali Nursing Home,12002,Comprehensive Health Centre,-2.07911,37.47308,Makueni,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Mwanyani Health Centre,12622,Basic Health Centre,-2.036121,37.51221,Makueni,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kamaget Dispensary (Trans Mara),14667,Dispensary,-1.07987,35.07997,Narok,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Takitech Dispensary,15700,Dispensary,-0.96053,35.05436,Narok,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Mauche Medical Clinic,15160,Medical Clinic,-0.51406,35.97443,Nakuru,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Mosocho Health Centre,13822,Comprehensive Health Centre,-0.60007,34.74206,Kisii,Operating,Other,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Nyangena Hospital,13925,Primary care hospitals,-0.66243,34.74911,Kisii,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Bogota Bag Imaging And Nursing Home,28578,Nursing and Maternity Home,3.150766,41.188801,Mandera,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Capital Medical Clinic,21846,Medical Clinic,-0.50676,35.9759599,Nakuru,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Consolata Clinic,14396,Medical Clinic,-0.63417,35.99525,Nakuru,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
