facility_name,facility_code,facility_type,latitude,longitude,admin1,status,country,ownership,data_source,coordinate_valid,open_date,open_year,uid,admin2,zone,coordinate_source,ownership_detail,catchment_population,urban_rural_strata,inpatient,outpatient,maternity,emergency,laboratory,malaria_services,extraction_date,data_quality_flag
Dzaleka,DA020366,Health Centre,-13.66168,33.87042,Central East Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Dzenje,MU210367,Health Centre,-16.1170073,35.4056002,South West Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
ku mission,LL040368,Health Centre,-13.87598,33.74689,Centrals West Zone,Functional,Malawi,Other,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
DiDi,TH310369,Health Centre,-16.06096,34.98999,South East Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Dzimbiri Health Post,TH310370,Health Post,-16.10202,34.99722,South East Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Dzindevu,DE030371,Health Centre,-14.20004,34.35998,Centrals West Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Dziwe,BT240373,Health Centre,-15.56369,34.88038,South East Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Dzonzi Mvai,NT120374,Dispensary,-14.94827,34.64306,Centrals West Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Dzoole,DA020375,Health Centre,-13.58537,33.66156,Central East Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Dzunje,NT120376,Health Centre,-14.80787,34.73608,Centrals West Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
