adm1,adm2,year,month,alls_ts,dhis2_ts,raw_positive_u5,raw_positive_all_ages,imput_u5,imput_all_ages,pred_counts_u5,pred_counts_all_ages,pop_u5,pop_total,alls_ts_pop_u5,alls_ts_pop_total,dhis2_ts_pop_u5,dhis2_ts_pop_total,pred_inc_u5,pred_inc_all_ages,pfpr_rdt
Oueme,Porto-Novo,2021,10,0.3413764536380768,0.257651150226593,421,2755,443.207045897632,2958.4546586894016,306.042175292969,1140.97292199474,58977,331799,20133.359106212854,113268.36594066024,15195.491886913776,85488.39399403334,0.005189178413499652,0.0034387473198977093,0.179560723987675
Oueme,Porto-Novo,2021,11,0.3413764536380768,0.257651150226593,415,2772,435.128041410626,2959.806183295556,475.755187988281,2555.39583201502,58977,331799,20133.359106212854,113268.36594066024,15195.491886913776,85488.39399403334,0.00806679193564069,0.007701638136386849,0.173956670768637
Oueme,Porto-Novo,2021,12,0.3413764536380768,0.257651150226593,344,3118,367.434102073174,3356.982082659764,418.560699462891,2540.84839807354,58977,331799,20133.359106212854,113268.36594066024,15195.491886913776,85488.39399403334,0.007097015776707717,0.007657794020095118,0.188432371605886
Oueme,Porto-Novo,2022,1,0.3413764536380768,0.257651150226593,245,2178,245,2178,349.738952636719,1926.23420700975,59921,341070,20455.6184784472,116433.26704233885,15438.71457272768,87877.07780778408,0.005836667489473123,0.005647621329960858,0.190466156106887
Oueme,Porto-Novo,2022,2,0.3413764536380768,0.257651150226593,260,1610,260,1610,337.53759765625,1589.85461006231,59921,341070,20455.6184784472,116433.26704233885,15438.71457272768,87877.07780778408,0.005633043468170592,0.004661373354626059,0.176547705234396
Oueme,Porto-Novo,2022,3,0.3413764536380768,0.257651150226593,269,1684,269,1684,352.223236083984,1754.11356895672,59921,341070,20455.6184784472,116433.26704233885,15438.71457272768,87877.07780778408,0.005878126801688623,0.005142972319338318,0.162770750764395
Oueme,Porto-Novo,2022,4,0.3413764536380768,0.257651150226593,299,1828,299,1828,449.414794921875,2555.69037151327,59921,341070,20455.6184784472,116433.26704233885,15438.71457272768,87877.07780778408,0.007500121742325312,0.007493154987284927,0.17100674863339899
Oueme,Porto-Novo,2022,5,0.3413764536380768,0.257651150226593,473,3519,473,3519,510.648223876953,2635.32352316037,59921,341070,20455.6184784472,116433.26704233885,15438.71457272768,87877.07780778408,0.008522024396738256,0.007726635362712551,0.189500688389454
Oueme,Porto-Novo,2022,6,0.3413764536380768,0.257651150226593,464,3611,464,3611,929.251037597656,4587.71064693592,59921,341070,20455.6184784472,116433.26704233885,15438.71457272768,87877.07780778408,0.015507936075794062,0.013450935722684257,0.24823038896829
Oueme,Porto-Novo,2022,7,0.3413764536380768,0.257651150226593,637,4234,637,4234,735.054931640625,2543.55858032028,59921,341070,20455.6184784472,116433.26704233885,15438.71457272768,87877.07780778408,0.012267067165778692,0.007457585188730406,0.2598395562449
